,date,venue,bat_team,bowl_team,runs,wickets,overs,runs_last_5,wickets_last_5,total
32,2008-04-18,13,3,6,61,0,5.1,59,0,222
33,2008-04-18,13,3,6,61,1,5.2,59,1,222
34,2008-04-18,13,3,6,61,1,5.3,59,1,222
35,2008-04-18,13,3,6,61,1,5.4,59,1,222
36,2008-04-18,13,3,6,61,1,5.5,58,1,222
37,2008-04-18,13,3,6,61,1,5.6,58,1,222
38,2008-04-18,13,3,6,62,1,6.1,55,1,222
39,2008-04-18,13,3,6,63,1,6.2,52,1,222
40,2008-04-18,13,3,6,64,1,6.3,47,1,222
41,2008-04-18,13,3,6,66,1,6.4,45,1,222
42,2008-04-18,13,3,6,67,1,6.5,46,1,222
43,2008-04-18,13,3,6,68,1,6.6,47,1,222
44,2008-04-18,13,3,6,68,1,7.1,47,1,222
45,2008-04-18,13,3,6,69,1,7.2,47,1,222
46,2008-04-18,13,3,6,70,1,7.3,44,1,222
47,2008-04-18,13,3,6,71,1,7.4,44,1,222
48,2008-04-18,13,3,6,72,1,7.5,45,1,222
49,2008-04-18,13,3,6,73,1,7.6,41,1,222
50,2008-04-18,13,3,6,73,1,8.1,35,1,222
51,2008-04-18,13,3,6,73,1,8.2,34,1,222
52,2008-04-18,13,3,6,73,1,8.3,30,1,222
53,2008-04-18,13,3,6,74,1,8.4,31,1,222
54,2008-04-18,13,3,6,75,1,8.5,31,1,222
55,2008-04-18,13,3,6,77,1,8.6,27,1,222
56,2008-04-18,13,3,6,78,1,9.1,24,1,222
57,2008-04-18,13,3,6,79,1,9.2,24,1,222
58,2008-04-18,13,3,6,80,1,9.3,21,1,222
59,2008-04-18,13,3,6,80,1,9.4,21,1,222
60,2008-04-18,13,3,6,86,1,9.5,26,1,222
61,2008-04-18,13,3,6,87,1,9.6,27,1,222
62,2008-04-18,13,3,6,88,1,10.1,27,1,222
63,2008-04-18,13,3,6,92,1,10.2,31,0,222
64,2008-04-18,13,3,6,92,1,10.3,31,0,222
65,2008-04-18,13,3,6,98,1,10.4,37,0,222
66,2008-04-18,13,3,6,98,1,10.5,37,0,222
67,2008-04-18,13,3,6,102,1,10.6,41,0,222
68,2008-04-18,13,3,6,102,1,11.1,40,0,222
69,2008-04-18,13,3,6,108,1,11.2,45,0,222
70,2008-04-18,13,3,6,110,1,11.3,46,0,222
71,2008-04-18,13,3,6,111,1,11.4,45,0,222
72,2008-04-18,13,3,6,111,1,11.5,44,0,222
73,2008-04-18,13,3,6,112,1,11.6,44,0,222
74,2008-04-18,13,3,6,112,2,12.1,44,1,222
75,2008-04-18,13,3,6,116,2,12.2,47,1,222
76,2008-04-18,13,3,6,116,2,12.3,46,1,222
77,2008-04-18,13,3,6,118,2,12.4,47,1,222
78,2008-04-18,13,3,6,119,2,12.4,47,1,222
79,2008-04-18,13,3,6,123,2,12.5,50,1,222
80,2008-04-18,13,3,6,124,2,12.6,51,1,222
81,2008-04-18,13,3,6,125,2,13.1,52,1,222
82,2008-04-18,13,3,6,125,2,13.2,52,1,222
83,2008-04-18,13,3,6,126,2,13.3,52,1,222
84,2008-04-18,13,3,6,127,2,13.4,52,1,222
85,2008-04-18,13,3,6,128,2,13.5,51,1,222
86,2008-04-18,13,3,6,130,2,13.6,52,1,222
87,2008-04-18,13,3,6,134,2,14.1,55,1,222
88,2008-04-18,13,3,6,135,2,14.2,55,1,222
89,2008-04-18,13,3,6,141,2,14.3,61,1,222
90,2008-04-18,13,3,6,145,2,14.4,59,1,222
91,2008-04-18,13,3,6,147,2,14.4,60,1,222
92,2008-04-18,13,3,6,148,2,14.5,60,1,222
93,2008-04-18,13,3,6,154,2,14.6,62,1,222
94,2008-04-18,13,3,6,154,2,15.1,62,1,222
95,2008-04-18,13,3,6,155,2,15.2,57,1,222
